Trend,True/False,p-value,normalized test statistic,Country
no trend,False,0.13312848419605983,1.5018785229652765,South Sudan
no trend,False,1.0,0.0,Somalia
increasing,True,2.55808200499974e-05,4.209613244997285,Yemen
increasing,True,0.0010077080415074047,3.288365827365609,Syria
increasing,True,0.0005061006025992576,3.4775065936934095,Central African Republic
no trend,False,0.08817977046872749,1.705078577152538,Congo Democratic Republic
decreasing,True,0.017343359162423466,-2.379346616737596,Sudan
no trend,False,0.5829505577618919,-0.5490799884779067,Chad
no trend,False,0.22325693312687278,1.2179132693946702,Afghanistan
decreasing,True,0.0027949345698872197,-2.989435492824159,Zimbabwe
decreasing,True,0.0060437194011075945,-2.745399942389534,Iraq
no trend,False,0.20012811767860228,1.2811866397817824,Haiti
no trend,False,0.393914842549449,0.852539288576269,Guinea
increasing,True,0.0041383639950869355,2.8674177176068465,Nigeria
no trend,False,0.10076777202016696,1.6411428194080433,Ethiopia
increasing,True,0.008706155452434139,2.6233821671722213,Guinea Bissau
no trend,False,0.9513521309544037,0.061008887608656304,Kenya
increasing,True,0.010539183529940876,2.5576178657288073,Burundi
increasing,True,1.4800883016974353e-05,4.331631020214598,Eritrea
no trend,False,0.08817977046872749,-1.705078577152538,Pakistan
no trend,False,0.3381805088935079,0.9577665126050852,Niger
no trend,False,0.05858757531048897,-1.8912755158683454,Myanmar
increasing,True,0.02066579072559671,2.3140352118498733,Cameroon
no trend,False,0.8075540639127232,0.24358265387893402,Uganda
increasing,True,0.0018616893784448862,3.1114532680414717,Libya
decreasing,True,0.00031879975807957983,-3.599524368910722,Cote d'Ivoire
increasing,True,0.0002976056847507902,3.617375253786656,Mali
decreasing,True,0.00041250971324147123,-3.531948481244543,North Korea
no trend,False,0.5841759753055473,-0.5472951500600487,Congo Republic
no trend,False,0.4277105102974643,0.793115538912532,Liberia
increasing,True,0.0041383639950869355,2.8674177176068465,Mauritania
decreasing,True,0.00031879975807957983,-3.599524368910722,Bangladesh
increasing,True,0.008706155452434139,2.6233821671722213,Angola
no trend,False,0.32989240808436815,0.9743306155157361,Rwanda
decreasing,True,0.00041250971324147123,-3.531948481244543,Sierra Leone
no trend,False,0.5829505577618919,0.5490799884779067,Egypt
increasing,True,2.55808200499974e-05,4.209613244997285,Mozambique
decreasing,True,0.0008247091822877195,-3.344365800670682,Timor-Leste
decreasing,True,0.0008787428132650543,-3.326721084000236,Nepal
increasing,True,9.281898133695066e-05,3.9086352435453273,Swaziland
increasing,True,0.00031879975807957983,3.599524368910722,Zambia
increasing,True,0.00016227556647607777,3.771490147280579,Djibouti
increasing,True,8.442315356127494e-06,4.453648795431911,Gambia
no trend,False,0.5021582515007486,-0.6710977636952193,Lebanon
no trend,False,0.06771933229500005,-1.8268699040920051,Burkina Faso
no trend,False,0.714832260960871,0.36537398081840106,Venezuela
no trend,False,0.27302541331760244,1.0961219424552031,Philippines
decreasing,True,0.0041383639950869355,-2.8674177176068465,Malawi
no trend,False,0.10076777202016696,-1.6411428194080433,Togo
decreasing,True,0.0006248437966112075,-3.420594687875304,Sri Lanka
no trend,False,0.7843554693542343,0.27364757503002435,Papua New Guinea
no trend,False,0.5829505577618919,-0.5490799884779067,Iran
no trend,False,0.4959098130618558,-0.6809394365351064,Cambodia
increasing,True,0.0007792699724176178,3.360054858486334,Madagascar
decreasing,True,0.017343359162423466,-2.379346616737596,Equatorial Guinea
decreasing,True,0.0006248437966112075,-3.420594687875304,Solomon Islands
no trend,False,0.8377619139838508,0.20475708983698054,Comoros
no trend,False,0.11335600758562636,1.5832872502130713,Turkey
no trend,False,1.0,0.0,Guatemala
decreasing,True,0.0019356217672188425,-3.0999364366596374,Laos
no trend,False,0.4116788930670441,-0.820942725090073,Lesotho
increasing,True,0.0007792699724176178,3.360054858486334,Senegal
decreasing,True,0.0007922485913105515,-3.355488818476097,Tajikistan
no trend,False,0.42942272684104177,0.7901798760112801,Tanzania
decreasing,True,2.631276625475465e-06,-4.697684345866536,Uzbekistan
decreasing,True,0.00031879975807957983,-3.599524368910722,Kyrgyz Republic
decreasing,True,0.04487319084990271,-2.005841223720942,Israel and West Bank
no trend,False,0.11335600758562636,1.5832872502130713,Honduras
no trend,False,0.06771933229500005,-1.8268699040920051,Russia
no trend,False,0.37269149047151817,0.8914431257208641,Jordan
decreasing,True,4.747060882381859e-06,-4.575666570649223,Colombia
no trend,False,0.11335600758562636,1.5832872502130713,India
no trend,False,1.0,0.0,Algeria
increasing,True,0.03273560958832067,2.135311066302971,Benin
decreasing,True,0.0010242815039822606,-3.283770900360292,Nicaragua
decreasing,True,0.0010077080415074047,-3.288365827365609,Bolivia
no trend,False,0.9515319756534193,0.060783067385483086,Thailand
decreasing,True,0.000335530406775586,-3.586200975743502,Azerbaijan
no trend,False,0.5841759753055473,-0.5472951500600487,Fiji
no trend,False,0.06702992815352737,1.831473308166845,Micronesia
decreasing,True,3.459380487758068e-05,-4.140905115941878,Bhutan
decreasing,True,0.006233518146926853,-2.735238032346739,Ecuador
decreasing,True,0.008706155452434139,-2.6233821671722213,Morocco
decreasing,True,0.004931500366306407,-2.811474473427341,Georgia
increasing,True,0.013784595818053136,2.4628281752702192,South Africa
decreasing,True,5.8417454587011974e-05,-4.019113789002412,Turkmenistan
no trend,False,0.8075540639127232,-0.24358265387893402,Ukraine
no trend,False,0.11335600758562636,-1.5832872502130713,Gabon
decreasing,True,0.00012758924559252982,-3.8310660504203407,Maldives
decreasing,True,0.0005061006025992576,-3.4775065936934095,China
decreasing,True,4.747060882381859e-06,-4.575666570649223,Indonesia
decreasing,True,0.00037451727786175226,-3.5574184753903166,Sao Tome and Principe
increasing,True,0.008957501099684517,2.6136718975757725,Tunisia
no trend,False,0.14387939352256596,-1.4614959232736042,Mexico
decreasing,True,1.4800883016974353e-05,-4.331631020214598,Bosnia and Herzegovina
decreasing,True,0.0041383639950869355,-2.8674177176068465,El Salvador
decreasing,True,1.4800883016974353e-05,-4.331631020214598,Belarus
decreasing,True,0.002611416335629224,-3.0101233253302677,Guyana
decreasing,True,0.00041250971324147123,-3.531948481244543,Saudi Arabia
decreasing,True,3.459380487758068e-05,-4.140905115941878,Peru
no trend,False,0.05952777519946828,-1.8842750889499755,Paraguay
decreasing,True,5.8417454587011974e-05,-4.019113789002412,Moldova
decreasing,True,0.040134998417235446,-2.0523568127251828,Armenia
decreasing,True,1.4800883016974353e-05,-4.331631020214598,Dominican Republic
decreasing,True,0.009331835083887574,-2.5996519627852313,Namibia
no trend,False,1.0,0.0,Brazil
decreasing,True,1.4800883016974353e-05,-4.331631020214598,Vietnam
increasing,True,0.0020302944356094255,3.0857646659568374,Ghana
decreasing,True,0.0027795477272285485,-2.991121614150501,Serbia
decreasing,True,1.5597933832323108e-05,-4.320070532339573,Cape Verde
decreasing,True,5.214911582429593e-05,-4.045780339810076,Samoa
decreasing,True,0.0002786876842340025,-3.634345051015831,Macedonia
increasing,True,0.0010242815039822606,3.283770900360292,Bahrain
decreasing,True,0.00012758924559252982,-3.8310660504203407,Suriname
decreasing,True,7.25118365456634e-05,-3.967889837935353,Belize
no trend,False,0.06078433557619589,-1.875060974618315,Malaysia
decreasing,True,0.0007922485913105515,-3.355488818476097,Kazakhstan
decreasing,True,0.023642218909198487,-2.2628940883683475,Jamaica
decreasing,True,3.459380487758068e-05,-4.140905115941878,Cuba
decreasing,True,0.0041383639950869355,-2.8674177176068465,Botswana
decreasing,True,9.281898133695066e-05,-3.9086352435453273,Cyprus
decreasing,True,3.459380487758068e-05,-4.140905115941878,Albania
decreasing,True,2.877817991331355e-05,-4.182925436074824,Grenada
decreasing,True,1.5597933832323108e-05,-4.320070532339573,Brunei Darussalam
decreasing,True,1.5597933832323108e-05,-4.320070532339573,Seychelles
decreasing,True,0.0006248437966112075,-3.420594687875304,Kuwait
decreasing,True,5.214911582429593e-05,-4.045780339810076,Antigua and Barbuda
no trend,False,0.10061374572461967,-1.641885450180146,Montenegro
increasing,True,5.214911582429593e-05,4.045780339810076,Greece
decreasing,True,0.004062087768726297,-2.8732995378152557,Mongolia
decreasing,True,1.5597933832323108e-05,-4.320070532339573,Trinidad and Tobago
increasing,True,0.0010242815039822606,3.283770900360292,Oman
decreasing,True,0.00015966707824310866,-3.7755311351234773,Bulgaria
no trend,False,0.8075540639127232,0.24358265387893402,Hungary
decreasing,True,0.0002786876842340025,-3.634345051015831,Bahamas
decreasing,True,5.214911582429593e-05,-4.045780339810076,Panama
decreasing,True,5.214911582429593e-05,-4.045780339810076,Romania
decreasing,True,2.877817991331355e-05,-4.182925436074824,Croatia
decreasing,True,5.214911582429593e-05,-4.045780339810076,Barbados
decreasing,True,0.0004701692793138701,-3.4971999547510824,Qatar
increasing,True,0.0010077080415074047,3.288365827365609,Argentina
decreasing,True,0.00012126237486764779,-3.8435599193453474,Latvia
no trend,False,0.7843554693542343,0.27364757503002435,Italy
decreasing,True,0.0012229573327571241,-3.2334710432587843,Costa Rica
decreasing,True,0.0002786876842340025,-3.634345051015831,Estonia
decreasing,True,0.0002786876842340025,-3.634345051015831,United Arab Emirates
decreasing,True,4.6518089251712524e-05,-4.072465514827367,Slovak Republic
decreasing,True,0.00346685594527929,-2.9229918465472084,Poland
no trend,False,0.3381805088935079,-0.9577665126050852,Spain
no trend,False,0.11475673431864908,1.5771686070446058,Chile
no trend,False,0.7843554693542343,-0.27364757503002435,Mauritius
decreasing,True,6.597429967891699e-06,-4.506279096760279,Lithuania
decreasing,True,0.02066579072559671,-2.3140352118498733,Czech Republic
increasing,True,0.021138499726665705,2.305501555695177,United States
decreasing,True,5.214911582429593e-05,-4.045780339810076,Malta
decreasing,True,0.008706155452434139,-2.6233821671722213,South Korea
decreasing,True,0.001076632864587701,-3.2696955654783966,Uruguay
increasing,True,0.046744941053711075,1.9886038958388508,Japan
no trend,False,0.670485725622612,-0.4254814716983816,United Kingdom
no trend,False,0.05133589454610843,-1.9486612310314722,France
no trend,False,0.6312218204782534,-0.48000783692661914,Singapore
decreasing,True,0.0002786876842340025,-3.634345051015831,Slovenia
no trend,False,0.9034200063616222,0.12134218714185142,Belgium
no trend,False,0.07528744391014963,-1.7787092376951583,Portugal
no trend,False,0.4939000644297926,0.6841189375750608,Austria
no trend,False,0.3059366246274873,-1.0237854491849028,Netherlands
decreasing,True,4.048160400960121e-05,-4.1047136254503656,Germany
decreasing,True,0.028583716099415568,-2.189180600240195,Canada
no trend,False,0.6814602066914706,-0.4104713625450365,New Zealand
no trend,False,0.11475673431864908,1.5771686070446058,Sweden
no trend,False,0.5021582515007486,-0.6710977636952193,Australia
decreasing,True,0.00016227556647607777,-3.771490147280579,Luxembourg
no trend,False,0.5371338571769022,0.6171529331913674,Ireland
no trend,False,0.19261627432960227,-1.302878414515109,Iceland
decreasing,True,0.015356038452223775,-2.4238714897403306,Denmark
no trend,False,0.7329064904578018,0.34126181639496755,Switzerland
no trend,False,0.19261627432960227,1.302878414515109,Norway
no trend,False,0.4939000644297926,-0.6841189375750608,Finland
